,price,bathrooms,bedrooms,city,homeType,livingArea,zipcode,priceReduction,daysOnZillow,latitude,longitude,30_year_mortgage
393,599900.0,2.0,3.0,Eagle Mountain,SINGLE_FAMILY,4184.0,84005,"$20,000 (Nov 6)",13,,,3956.9628770334148
394,639900.0,3.0,4.0,Eagle Mountain,SINGLE_FAMILY,4145.0,84005,"$10,000 (Nov 6)",13,,,4220.804375752095
395,499500.0,3.0,5.0,Spanish Fork,SINGLE_FAMILY,2200.0,84660,,13,40.12283,-111.626564,3294.720715249526
396,1250000.0,4.0,5.0,Lehi,SINGLE_FAMILY,4444.0,84043,,13,40.39944,-111.89204,8245.046834958774
397,550000.0,3.0,5.0,Orem,SINGLE_FAMILY,2486.0,84057,,-1,40.330383,-111.70505,3627.8206073818606
398,950000.0,4.0,6.0,Highland,SINGLE_FAMILY,5410.0,84003,,13,40.424843,-111.76889,6266.235594568668
399,595000.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,2301.0,84045,,13,40.359444,-111.91296,3924.6422934403763
400,949000.0,4.0,6.0,Lehi,SINGLE_FAMILY,4673.0,84043,"$1,000 (Oct 20)",-1,40.44663,-111.887474,6259.639557100701
401,929000.0,4.0,5.0,Saratoga Springs,SINGLE_FAMILY,3698.0,84045,,13,40.309124,-111.88579,6127.71880774136
402,434990.0,3.0,3.0,Provo,TOWNHOUSE,1555.0,84604,"$7,865 (Nov 1)",-1,40.20811,-111.6714,2869.2103381909737
403,434990.0,3.0,3.0,Provo,TOWNHOUSE,1555.0,84604,"$7,865 (Nov 1)",-1,40.20811,-111.6714,2869.2103381909737
404,444990.0,3.0,3.0,Provo,TOWNHOUSE,1555.0,84604,"$8,090 (Nov 1)",-1,40.20811,-111.6714,2935.170712870644
405,405000.0,1.0,4.0,Payson,SINGLE_FAMILY,1558.0,84651,"$5,000 (Nov 6)",-1,40.047398,-111.73116,2671.3951745266427
406,1499999.0,3.0,4.0,Payson,SINGLE_FAMILY,2375.0,84651,,13,40.057735,-111.75912,9894.04960591306
407,444990.0,3.0,3.0,Provo,TOWNHOUSE,1555.0,84604,"$8,090 (Nov 1)",-1,40.20811,-111.6714,2935.170712870644
408,399999.0,1.0,3.0,Lehi,SINGLE_FAMILY,854.0,84043,,13,40.399044,-111.84448,2638.4083911493394
409,395000.0,1.0,2.0,Provo,SINGLE_FAMILY,696.0,84604,,13,40.24487,-111.66907,2605.4347998469725
410,500000.0,2.0,3.0,Saratoga Springs,SINGLE_FAMILY,1456.0,84045,,13,40.29726,-111.88786,3298.0187339835097
411,549990.0,2.0,3.0,Saratoga Springs,SINGLE_FAMILY,3332.0,84045,,13,40.36906,-111.930145,3627.7546470071807
412,609950.0,3.0,4.0,Lehi,SINGLE_FAMILY,2238.0,84043,,13,40.367905,-111.85271,4023.2530535864835
414,840000.0,3.0,5.0,Eagle Mountain,SINGLE_FAMILY,3376.0,84005,,13,40.38115,-112.00096,5540.671473092296
415,814900.0,3.0,5.0,Saratoga Springs,SINGLE_FAMILY,4145.0,84045,,13,,,5375.110932646324
416,400000.0,3.0,4.0,Eagle Mountain,SINGLE_FAMILY,1733.0,84005,,13,40.356804,-111.96525,2638.4149871868076
417,725000.0,3.0,4.0,Salem,SINGLE_FAMILY,3930.0,84653,,13,40.02963,-111.67885,4782.1271642760885
418,2450000.0,5.0,5.0,Draper,SINGLE_FAMILY,6791.0,84020,,13,40.472946,-111.834076,16160.291796519197
419,399400.0,3.0,3.0,Provo,TOWNHOUSE,1736.0,84604,,13,40.248028,-111.69304,2634.457364706028
420,460000.0,2.0,4.0,Pleasant Grove,SINGLE_FAMILY,2597.0,84062,,13,40.3665,-111.74555,3034.177235264829
421,1293995.0,5.0,6.0,Lehi,SINGLE_FAMILY,4768.0,84043,,13,40.444122,-111.868355,8535.239503361983
422,2100000.0,4.0,5.0,Alpine,SINGLE_FAMILY,7870.0,84004,,13,40.44265,-111.78507,13851.67868273074
423,499990.0,3.0,3.0,Lehi,SINGLE_FAMILY,2945.0,84043,"$4,985 (Nov 1)",-1,,,3297.95277360883
424,923995.0,3.0,5.0,Lehi,SINGLE_FAMILY,3858.0,84043,,-1,40.455418,-111.88036,6094.705640214186
425,440000.0,3.0,3.0,Spanish Fork,TOWNHOUSE,2041.0,84660,,-1,40.097652,-111.611046,2902.2564859054887
426,540000.0,4.0,5.0,Eagle Mountain,SINGLE_FAMILY,3428.0,84045,,14,40.357853,-111.94528,3561.8602327021904
427,308000.0,2.0,3.0,Provo,CONDO,1100.0,84604,,14,40.253826,-111.67412,2031.5795401338419
428,520000.0,3.0,5.0,Spanish Fork,SINGLE_FAMILY,2576.0,84660,,14,40.10547,-111.63603,3429.93948334285
429,446990.0,3.0,3.0,American Fork,SINGLE_FAMILY,1427.0,84003,,14,40.36328,-111.80183,2948.362787806578
430,481140.0,3.0,3.0,American Fork,TOWNHOUSE,1896.0,84003,,14,40.39554,-111.80686,3173.6174673376518
431,1529000.0,5.0,6.0,Highland,SINGLE_FAMILY,5144.0,84003,,14,40.459866,-111.80484,10085.341288521573
432,599000.0,3.0,4.0,Eagle Mountain,SINGLE_FAMILY,3353.0,84005,"$1,000 (Nov 6)",-1,40.323578,-112.02565,3951.0264433122443
433,479900.0,2.0,4.0,Provo,SINGLE_FAMILY,1678.0,84601,,14,40.246887,-111.712326,3165.4383808773723
434,649900.0,4.0,5.0,Payson,SINGLE_FAMILY,3249.0,84651,,14,40.01459,-111.73481,4286.764750431766
435,415000.0,2.0,3.0,Lehi,TOWNHOUSE,1454.0,84043,,14,40.39561,-111.910515,2737.355549206313
436,699000.0,4.0,5.0,Lehi,SINGLE_FAMILY,3900.0,84043,,14,40.416588,-111.890495,4610.630190108946
437,647990.0,3.0,5.0,Eagle Mountain,SINGLE_FAMILY,2665.0,84005,,-1,40.324318,-112.01573,4274.166318867949
438,850000.0,4.0,7.0,Saratoga Springs,SINGLE_FAMILY,5718.0,84045,,14,40.33522,-111.910126,5606.631847771966
439,425000.0,2.0,5.0,Spanish Fork,SINGLE_FAMILY,2880.0,84660,,14,40.114185,-111.64094,2803.315923885983
440,419900.0,3.0,3.0,Eagle Mountain,TOWNHOUSE,2305.0,84005,,14,40.35082,-111.95036,2769.6761327993513
441,695000.0,3.0,4.0,Lehi,SINGLE_FAMILY,3255.0,84043,,14,40.41826,-111.91774,4584.246040237078
442,589900.0,2.0,3.0,Eagle Mountain,SINGLE_FAMILY,3231.0,84005,"$10,000 (Oct 27)",14,,,3891.0025023537446
443,850000.0,3.0,5.0,Highland,SINGLE_FAMILY,3276.0,84003,"$10,000 (Nov 3)",-1,40.407444,-111.80799,5606.631847771966
444,469900.0,3.0,4.0,Eagle Mountain,SINGLE_FAMILY,2416.0,84005,,14,40.298607,-112.01477,3099.478006197702
446,479900.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,2004.0,84045,,14,40.293278,-111.885315,3165.4383808773723
447,1550000.0,4.0,4.0,American Fork,SINGLE_FAMILY,5849.0,84003,,14,40.385544,-111.81639,10223.85807534888
448,299000.0,2.0,3.0,Provo,CONDO,1120.0,84604,,14,40.2566,-111.67476,1972.2152029221386
449,496990.0,2.0,3.0,American Fork,SINGLE_FAMILY,1626.0,84003,,14,40.359512,-111.80194,3278.164661204929
450,444900.0,4.0,3.0,Saratoga Springs,TOWNHOUSE,1793.0,84045,,14,40.319637,-111.89901,2934.5770694985267
451,425990.0,3.0,3.0,Eagle Mountain,SINGLE_FAMILY,1830.0,84005,,-1,40.324318,-112.01573,2809.8460009792702
452,874900.0,4.0,6.0,Saratoga Springs,SINGLE_FAMILY,3799.0,84043,"$24,100 (Nov 2)",-1,40.44673,-111.88781,5770.873180724345
454,559990.0,3.0,3.0,American Fork,SINGLE_FAMILY,2021.0,84003,,15,40.35773,-111.819115,3693.715021686851
455,589000.0,3.0,5.0,Lehi,SINGLE_FAMILY,2744.0,84043,"$10,900 (Nov 2)",-1,,,3885.066068632574
456,500000.0,2.0,5.0,Orem,SINGLE_FAMILY,2236.0,84058,,15,40.28078,-111.697815,3298.0187339835097
457,475000.0,2.0,4.0,American Fork,SINGLE_FAMILY,2071.0,84003,"$10,000 (Nov 4)",-1,40.37019,-111.78944,3133.117797284334
458,510475.0,3.0,3.0,Lindon,TOWNHOUSE,2392.0,84042,$200 (Nov 7),15,,,3367.112226460464
459,519900.0,3.0,4.0,Eagle Mountain,SINGLE_FAMILY,2170.0,84005,,15,40.351475,-111.97305,3429.279879596053
460,620000.0,4.0,5.0,Saratoga Springs,SINGLE_FAMILY,2891.0,84045,,15,40.28654,-111.87766,4089.543230139552
461,520000.0,4.0,4.0,Provo,SINGLE_FAMILY,2219.0,84601,,15,40.253716,-111.70256,3429.93948334285
462,2850000.0,7.0,5.0,Alpine,SINGLE_FAMILY,9439.0,84004,,15,40.458447,-111.79043,18798.706783706006
469,549990.0,3.0,3.0,Lehi,SINGLE_FAMILY,3067.0,84043,,-1,40.39999,-111.9072,3627.7546470071807
470,322900.0,2.0,3.0,Saratoga Springs,CONDO,1272.0,84045,,15,,,2129.8604984065505
471,610000.0,3.0,5.0,Lehi,SINGLE_FAMILY,2712.0,84043,,15,40.441547,-111.89209,4023.582855459882
472,461900.0,3.0,3.0,Lehi,TOWNHOUSE,2370.0,84043,,15,,,3046.709706453966
474,609555.0,2.0,3.0,Vineyard,CONDO,1972.0,84059,,15,40.306046,-111.75805,4020.6476187866365
475,2999000.0,4.0,5.0,Saratoga Springs,SINGLE_FAMILY,7643.0,84045,,15,40.332214,-111.901146,19781.51636643309
476,1021995.0,5.0,6.0,Lehi,SINGLE_FAMILY,4302.0,84043,,-1,40.455418,-111.88036,6741.117312074954
477,460990.0,2.0,3.0,Eagle Mountain,SINGLE_FAMILY,1880.0,84005,,-1,40.32013,-112.02189,3040.7073123581163
478,630000.0,3.0,4.0,Mapleton,SINGLE_FAMILY,2695.0,84663,"$5,000 (Nov 7)",-1,40.155254,-111.62818,4155.503604819222
479,559900.0,3.0,4.0,Eagle Mountain,SINGLE_FAMILY,3403.0,84005,,16,40.306786,-111.98834,3693.1213783147336
480,479000.0,2.0,3.0,Provo,SINGLE_FAMILY,2432.0,84606,,-1,40.235905,-111.64342,3159.5019471562023
481,525000.0,3.0,3.0,Eagle Mountain,SINGLE_FAMILY,2804.0,84005,,-1,40.299778,-112.01386,3462.919670682685
482,549990.0,3.0,3.0,American Fork,SINGLE_FAMILY,2289.0,84003,,16,40.36989,-111.81718,3627.7546470071807
483,441990.0,3.0,3.0,Saratoga Springs,TOWNHOUSE,2187.0,84045,,-1,40.36616,-111.8912,2915.3826004667426
484,6999000.0,7.0,6.0,Alpine,SINGLE_FAMILY,8000.0,84004,,16,40.46311,-111.795456,46165.666238301164
485,405000.0,3.0,3.0,Pleasant Grove,TOWNHOUSE,1500.0,84062,,16,40.3604,-111.754074,2671.3951745266427
486,380000.0,1.0,3.0,Provo,SINGLE_FAMILY,1050.0,84601,,16,40.224586,-111.667076,2506.4942378274673
487,529990.0,3.0,3.0,American Fork,SINGLE_FAMILY,1949.0,84003,,16,40.36989,-111.81718,3495.8338976478403
488,749900.0,3.0,5.0,Saratoga Springs,SINGLE_FAMILY,4161.0,84045,,16,40.30337,-111.897354,4946.368497228468
489,509900.0,3.0,3.0,Saratoga Springs,SINGLE_FAMILY,2278.0,84045,,16,,,3363.319504916383
490,629500.0,3.0,5.0,Draper,SINGLE_FAMILY,3157.0,84020,,16,,,4152.205586085239
491,299999.0,2.0,3.0,Provo,CONDO,1120.0,84604,,16,40.256977,-111.67369,1978.8046443526378
492,1100000.0,3.0,4.0,Lehi,SINGLE_FAMILY,5605.0,84043,,16,40.40111,-111.82382,7255.641214763721
493,459900.0,2.0,3.0,Lehi,SINGLE_FAMILY,1443.0,84043,,16,40.395554,-111.84227,3033.517631518032
494,504990.0,3.0,3.0,Saratoga Springs,SINGLE_FAMILY,2696.0,84045,"$3,985 (Nov 1)",-1,40.36616,-111.8912,3330.9329609486654
496,554990.0,3.0,3.0,American Fork,SINGLE_FAMILY,2451.0,84003,,-1,40.355587,-111.82387,3660.734834347016
497,699000.0,3.0,6.0,Orem,SINGLE_FAMILY,2728.0,84057,,17,40.306602,-111.69312,4610.630190108946
498,486900.0,3.0,3.0,Eagle Mountain,SINGLE_FAMILY,1873.0,84005,,-1,40.2962,-112.0136,3211.6106431531416
499,520000.0,3.0,5.0,Spanish Fork,SINGLE_FAMILY,2196.0,84660,"$10,000 (Nov 3)",-1,40.09422,-111.61538,3429.93948334285
500,309900.0,1.0,2.0,Springville,CONDO,980.0,84663,,17,40.161064,-111.654015,2044.1120113229792
501,865000.0,4.0,6.0,Orem,SINGLE_FAMILY,4643.0,84057,"$19,900 (Oct 27)",-1,40.32753,-111.7147,5705.572409791472
502,1073995.0,4.0,5.0,Lehi,SINGLE_FAMILY,4881.0,84043,,-1,40.455418,-111.88036,7084.111260409239
503,1044900.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,4621.0,84045,,18,40.31209,-111.88556,6892.199550278738
504,338900.0,2.0,3.0,Lehi,CONDO,1272.0,84043,"$61,060 (Oct 6)",-1,40.393673,-111.82818,2235.397097894023
505,624990.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,2670.0,84045,,-1,40.339973,-111.93535,4122.457457104707
506,659990.0,4.0,4.0,Saratoga Springs,SINGLE_FAMILY,3086.0,84045,,-1,40.339973,-111.93535,4353.318768483553
507,598990.0,3.0,3.0,Saratoga Springs,SINGLE_FAMILY,1997.0,84045,,-1,40.339973,-111.93535,3950.960482937565
